Started in hybrid online/batch training mode.
Mini-batches (50 sequences each) will be shuffled during training.
Using input noise with a standard deviation of 0.6.
The trained network will be written to 'trained_network.jsn'.
Validation error will be calculated every 1 epochs.
Training will be stopped after 100 epochs or if there is no new lowest validation error within 20 epochs.
Autosave after EVERY EPOCH enabled.
Utilizing the GPU for computations with 50 sequences in parallel.
Normal distribution with mean=0 and sigma=0.1. Random seed: 1467336830

Using device #0 (GeForce GTX 780 Ti)
Reading network from 'normal.jsn'... done.

Loading training set '../data/train_1_speaker.nc' ...
using cache file: /tmp/4dd6-5f44-0dd6-3fec
... done.
Loaded fraction:  100%
Sequences:        1000
Sequence lengths: 113..216
Total timesteps:  148668

Loading validation set '../data/val_1_speaker.nc' ...
using cache file: /tmp/eefe-c536-a271-1cb9
... done.
Loaded fraction:  100%
Sequences:        102
Sequence lengths: 113..152
Total timesteps:  13878

Creating the neural network... done.
Layers:
(0) input [size: 39]
(1) blstm [size: 156, bias: 1.0, weights: 74100]
(2) blstm [size: 300, bias: 1.0, weights: 369300]
(3) blstm [size: 102, bias: 1.0, weights: 143922]
(4) softmax [size: 51, bias: 1.0, weights: 5253]
(5) multiclass_classification [size: 51]
Total weights: 592575


Creating the optimizer... done.
Optimizer type: Steepest descent with momentum
Max training epochs:       100
Max epochs until new best: 20
Validation error every:    1
Test error every:          1
Learning rate:             1e-05
Momentum:                  0.9

Starting training...

 Epoch | Duration |  Training error  | Validation error |    Test error    | New best 
-------+----------+------------------+------------------+------------------+----------
     1 |     32.0 | 92.72%   561.891 | 93.10%   482.222 |                  |  yes   
     2 |     32.0 | 83.95%   494.536 | 81.85%   434.683 |                  |  yes   
     3 |     32.0 | 73.91%   427.826 | 72.86%   378.366 |                  |  yes   
     4 |     32.0 | 64.28%   354.325 | 64.51%   316.563 |                  |  yes   
     5 |     32.0 | 52.53%   287.552 | 56.70%   260.339 |                  |  yes   
     6 |     32.0 | 45.53%   236.363 | 47.10%   223.522 |                  |  yes   
     7 |     32.0 | 37.15%   193.250 | 40.35%   187.793 |                  |  yes   
     8 |     32.0 | 32.35%   167.884 | 38.52%   172.963 |                  |  yes   
     9 |     32.0 | 29.08%   149.323 | 38.09%   174.249 |                  |  no    
    10 |     32.0 | 24.80%   128.605 | 32.36%   146.961 |                  |  yes   
    11 |     32.0 | 22.36%   114.538 | 32.41%   142.772 |                  |  yes   
    12 |     32.0 | 21.48%   109.678 | 31.58%   148.405 |                  |  no    
    13 |     32.0 | 20.47%   104.936 | 30.05%   133.469 |                  |  yes   
    14 |     32.0 | 18.08%    91.227 | 30.33%   135.568 |                  |  no    
    15 |     32.0 | 16.89%    85.259 | 27.32%   123.439 |                  |  yes   
    16 |     32.0 | 15.89%    80.265 | 26.21%   116.377 |                  |  yes   
    17 |     32.0 | 14.84%    74.437 | 26.05%   116.452 |                  |  no    
    18 |     32.0 | 13.85%    69.916 | 24.81%   112.992 |                  |  yes   
    19 |     32.0 | 13.24%    65.845 | 26.29%   121.174 |                  |  no    
    20 |     32.0 | 12.32%    62.597 | 26.58%   119.974 |                  |  no    
    21 |     32.0 | 12.45%    62.926 | 26.65%   126.617 |                  |  no    
    22 |     32.0 | 11.58%    58.302 | 25.64%   115.869 |                  |  no    
    23 |     32.0 | 10.89%    54.160 | 24.32%   109.934 |                  |  yes   
    24 |     32.0 | 11.08%    54.759 | 23.37%   110.316 |                  |  no    
    25 |     32.0 | 10.24%    50.033 | 23.45%   110.425 |                  |  no    
    26 |     32.0 |  9.11%    45.244 | 24.34%   115.284 |                  |  no    
    27 |     32.0 |  9.02%    44.376 | 23.40%   109.148 |                  |  yes   
    28 |     32.0 |  8.56%    42.555 | 23.66%   106.606 |                  |  yes   
    29 |     32.0 |  8.18%    40.656 | 21.57%   105.927 |                  |  yes   
    30 |     32.0 |  7.87%    38.886 | 22.78%   106.337 |                  |  no    
    31 |     32.0 |  7.78%    38.050 | 21.80%   108.391 |                  |  no    
    32 |     32.1 |  7.32%    35.812 | 21.32%    99.896 |                  |  yes   
    33 |     32.0 |  6.79%    34.113 | 20.38%   100.099 |                  |  no    
    34 |     32.0 |  6.82%    33.151 | 21.41%   104.594 |                  |  no    
    35 |     32.0 |  6.53%    31.446 | 21.33%   104.939 |                  |  no    
