Started in hybrid online/batch training mode.
Mini-batches (50 sequences each) will be shuffled during training.
Using input noise with a standard deviation of 0.6.
The trained network will be written to 'trained_network.jsn'.
WARNING: The output file 'trained_network.jsn' already exists. It will be overwritten!
Validation error will be calculated every 1 epochs.
Training will be stopped after 100 epochs or if there is no new lowest validation error within 20 epochs.
Autosave after EVERY EPOCH enabled.
Utilizing the GPU for computations with 50 sequences in parallel.
Uniform distribution with range [-0.1, 0.1]. Random seed: 4190805265

Using device #0 (GeForce GTX 780 Ti)
Reading network from 'uniform.jsn'... done.

Loading training set '../data/train_1_speaker.nc' ...
using cache file: /tmp/5090-f37a-7c12-04f3
... done.
Loaded fraction:  100%
Sequences:        1000
Sequence lengths: 113..216
Total timesteps:  148668

Loading validation set '../data/val_1_speaker.nc' ...
using cache file: /tmp/5f14-20ef-8b75-a827
... done.
Loaded fraction:  100%
Sequences:        102
Sequence lengths: 113..152
Total timesteps:  13878

Creating the neural network... done.
Layers:
(0) input [size: 39]
(1) blstm [size: 156, bias: 0.1, weights: 74100]
(2) blstm [size: 300, bias: 0.1, weights: 369300]
(3) blstm [size: 102, bias: 0.1, weights: 143922]
(4) softmax [size: 51, bias: 0.1, weights: 5253]
(5) multiclass_classification [size: 51]
Total weights: 592575


Creating the optimizer... done.
Optimizer type: Steepest descent with momentum
Max training epochs:       100
Max epochs until new best: 20
Validation error every:    1
Test error every:          1
Learning rate:             1e-05
Momentum:                  0.9

Starting training...

 Epoch | Duration |  Training error  | Validation error |    Test error    | New best 
-------+----------+------------------+------------------+------------------+----------
     1 |     32.0 | 95.87%   584.131 | 93.45%   534.031 |                  |  yes   
     2 |     32.0 | 86.54%   582.267 | 85.61%   532.234 |                  |  yes   
     3 |     32.0 | 81.73%   579.244 | 83.30%   529.173 |                  |  yes   
     4 |     32.0 | 80.96%   572.833 | 83.44%   521.251 |                  |  yes   
     5 |     32.0 | 81.80%   552.279 | 85.34%   491.414 |                  |  yes   
     6 |     32.0 | 82.11%   498.408 | 83.75%   443.164 |                  |  yes   
     7 |     32.0 | 77.76%   447.257 | 79.20%   412.496 |                  |  yes   
     8 |     32.0 | 73.76%   412.552 | 76.38%   392.428 |                  |  yes   
     9 |     32.0 | 69.89%   385.227 | 74.99%   374.341 |                  |  yes   
    10 |     32.0 | 66.05%   356.467 | 70.69%   353.853 |                  |  yes   
    11 |     32.0 | 61.14%   326.809 | 63.11%   316.916 |                  |  yes   
    12 |     32.0 | 56.21%   292.624 | 58.71%   288.698 |                  |  yes   
    13 |     32.0 | 50.23%   266.719 | 54.63%   259.977 |                  |  yes   
    14 |     32.0 | 45.72%   241.154 | 49.68%   238.392 |                  |  yes   
    15 |     32.0 | 41.47%   214.951 | 46.73%   222.203 |                  |  yes   
    16 |     32.0 | 38.71%   193.914 | 47.82%   214.102 |                  |  yes   
    17 |     32.0 | 36.26%   181.333 | 45.99%   213.650 |                  |  yes   
    18 |     32.0 | 35.22%   175.876 | 42.98%   194.525 |                  |  yes   
    19 |     32.0 | 31.42%   157.175 | 42.19%   187.161 |                  |  yes   
    20 |     32.0 | 28.65%   143.502 | 39.70%   180.315 |                  |  yes   
    21 |     32.0 | 26.67%   135.627 | 38.62%   177.454 |                  |  yes   
    22 |     32.0 | 25.46%   128.439 | 38.23%   172.905 |                  |  yes   
    23 |     32.0 | 23.22%   116.778 | 36.08%   165.192 |                  |  yes   
    24 |     32.0 | 21.31%   108.845 | 34.56%   152.902 |                  |  yes   
    25 |     32.0 | 21.37%   105.649 | 34.93%   154.287 |                  |  no    
    26 |     32.0 | 19.92%   101.316 | 33.05%   150.235 |                  |  yes   
    27 |     32.0 | 18.99%    94.127 | 32.03%   140.901 |                  |  yes   
    28 |     32.0 | 17.98%    88.994 | 31.29%   144.283 |                  |  no    
    29 |     32.0 | 17.68%    88.609 | 31.59%   147.067 |                  |  no    
    30 |     32.0 | 16.46%    80.790 | 29.24%   132.653 |                  |  yes   
    31 |     32.0 | 15.69%    77.899 | 32.25%   148.406 |                  |  no    
    32 |     32.0 | 16.04%    78.588 | 28.46%   129.948 |                  |  yes   
    33 |     32.0 | 15.04%    73.968 | 27.84%   130.944 |                  |  no    
    34 |     32.0 | 13.89%    68.691 | 25.63%   117.968 |                  |  yes   
    35 |     32.0 | 13.24%    64.921 | 26.62%   122.643 |                  |  no    
    36 |     32.0 | 13.32%    64.941 | 25.78%   118.103 |                  |  no    
    37 |     32.0 | 12.19%    59.662 | 26.95%   126.839 |                  |  no    
    38 |     32.0 | 12.00%    58.156 | 25.22%   118.175 |                  |  no    
    39 |     32.0 | 11.85%    57.034 | 24.82%   118.354 |                  |  no    
    40 |     32.0 | 11.89%    58.791 | 26.83%   126.152 |                  |  no    
    41 |     32.0 | 11.25%    54.860 | 24.81%   115.378 |                  |  yes   
    42 |     32.0 | 10.67%    51.749 | 23.37%   110.157 |                  |  yes   
    43 |     32.0 | 10.56%    50.408 | 23.58%   115.583 |                  |  no    
    44 |     32.0 |  9.93%    48.026 | 22.73%   110.434 |                  |  no    
    45 |     32.0 |  9.53%    46.226 | 21.57%   106.060 |                  |  yes   
    46 |     32.0 |  9.29%    45.163 | 23.04%   110.389 |                  |  no    
    47 |     32.0 |  9.11%    44.317 | 22.03%   108.050 |                  |  no    
    48 |     32.0 |  8.69%    42.469 | 22.51%   108.665 |                  |  no    
    49 |     32.0 |  8.64%    42.015 | 21.46%   103.906 |                  |  yes   
    50 |     32.0 |  8.03%    38.902 | 20.87%   103.498 |                  |  yes   
    51 |     32.0 |  7.80%    37.967 | 22.65%   114.854 |                  |  no    
    52 |     32.0 |  8.37%    40.008 | 20.46%   101.960 |                  |  yes   
    53 |     32.0 |  7.62%    36.490 | 21.24%   102.941 |                  |  no    
    54 |     32.0 |  7.14%    34.286 | 21.86%   110.712 |                  |  no    
    55 |     32.0 |  7.53%    35.884 | 21.35%   105.108 |                  |  no    
    56 |     32.0 |  6.96%    33.585 | 21.52%   107.807 |                  |  no    
    57 |     32.0 |  6.50%    31.209 | 20.92%   104.290 |                  |  no    
    58 |     32.0 |  6.19%    29.607 | 21.23%   109.499 |                  |  no    
    59 |     32.0 |  6.51%    31.002 | 21.93%   103.800 |                  |  no    
    60 |     32.0 |  6.23%    29.306 | 20.91%   104.622 |                  |  no    
    61 |     32.0 |  6.58%    31.025 | 22.73%   112.579 |                  |  no    
    62 |     32.0 |  6.35%    30.190 | 20.51%   103.209 |                  |  no    
    63 |     32.0 |  5.47%    26.029 | 21.20%   103.105 |                  |  no    
    64 |     32.0 |  5.70%    27.332 | 20.20%   101.029 |                  |  yes   
    65 |     32.0 |  5.48%    25.803 | 20.37%    98.155 |                  |  yes   
    66 |     32.0 |  5.28%    25.449 | 20.56%   104.181 |                  |  no    
    67 |     32.0 |  5.20%    24.251 | 20.57%   106.115 |                  |  no    
    68 |     32.0 |  5.05%    24.215 | 20.25%   102.033 |                  |  no    
    69 |     32.0 |  4.83%    23.226 | 20.69%   107.470 |                  |  no    
    70 |     32.0 |  4.93%    23.199 | 19.54%   102.138 |                  |  no    
    71 |     32.0 |  4.72%    22.505 | 20.53%   102.079 |                  |  no    
    72 |     32.0 |  4.31%    20.642 | 19.48%    99.568 |                  |  no    
    73 |     32.0 |  4.54%    21.060 | 20.00%   101.465 |                  |  no    
    74 |     32.0 |  4.40%    20.706 | 20.24%   104.260 |                  |  no    
    75 |     32.0 |  4.30%    20.759 | 20.61%   103.856 |                  |  no    
    76 |     32.0 |  4.45%    20.614 | 20.34%   106.281 |                  |  no    
    77 |     32.0 |  4.14%    19.378 | 20.18%   100.887 |                  |  no    
    78 |     32.0 |  3.91%    18.391 | 20.20%   100.921 |                  |  no    
    79 |     32.0 |  4.08%    19.231 | 19.25%   101.899 |                  |  no    
    80 |     32.0 |  3.84%    17.860 | 19.53%   105.394 |                  |  no    
    81 |     32.0 |  3.71%    17.390 | 18.68%    98.964 |                  |  no    
    82 |     32.0 |  3.69%    17.734 | 18.60%    99.742 |                  |  no    
    83 |     32.0 |  3.66%    17.032 | 19.82%   104.971 |                  |  no    
    84 |     32.0 |  3.85%    17.453 | 20.20%   104.044 |                  |  no    
    85 |     32.0 |  3.77%    17.264 | 20.95%   108.240 |                  |  no    

No new lowest error since 20 epochs. Training stopped.
Lowest validation error: 98.154831

Storing the trained network in 'trained_network.jsn'... done.
Removing cache file(s) ...
