Loading data...
Computing updates...
Compiling functions...
Training...
Epoch 0 took 74.7998168468, cost = 0.0947656147182, error = 0.634940467441
Epoch 1 took 74.8156058788, cost = 0.0725316181779, error = 0.515728355137
Epoch 2 took 74.803912878, cost = 0.0692348927259, error = 0.498750551227
Epoch 3 took 74.8440520763, cost = 0.053137274459, error = 0.418418344848
Epoch 4 took 74.7953608036, cost = 0.0486344583333, error = 0.378435984125
Epoch 5 took 74.8179140091, cost = 0.0407039485872, error = 0.307437895046
Epoch 6 took 74.6786119938, cost = 0.039229683578, error = 0.296413347053
Epoch 7 took 74.7519059181, cost = 0.0372375845909, error = 0.280611494929
Epoch 8 took 74.8235371113, cost = 0.0379178840667, error = 0.290313097163
Epoch 9 took 74.8441710472, cost = 0.0400823689997, error = 0.311774217257
Epoch 10 took 74.8540389538, cost = 0.0464130770415, error = 0.342789945612
Epoch 11 took 74.8290760517, cost = 0.0371750295162, error = 0.276716154638
Epoch 12 took 74.8227767944, cost = 0.0341539736837, error = 0.256577980303
Epoch 13 took 74.8556120396, cost = 0.0353454761207, error = 0.262604733206
Epoch 14 took 74.6675920486, cost = 0.0325542017817, error = 0.244083492577
Epoch 15 took 74.6674118042, cost = 0.0331275463104, error = 0.251433191239
Epoch 16 took 74.6054151058, cost = 0.0335049051791, error = 0.247170366015
Epoch 17 took 74.655395031, cost = 0.033685779199, error = 0.251065706306
Epoch 18 took 74.8098468781, cost = 0.0338317509741, error = 0.23857121858
Epoch 19 took 74.8446788788, cost = 0.0378136187792, error = 0.251874173159
Epoch 20 took 74.8098261356, cost = 0.0354628097266, error = 0.246802881082
Epoch 21 took 74.8416330814, cost = 0.0360162965953, error = 0.237542260767
Epoch 22 took 74.8082098961, cost = 0.0347849875689, error = 0.246508893135
Epoch 23 took 74.8353998661, cost = 0.0330782821402, error = 0.225341760988
Epoch 24 took 74.6741058826, cost = 0.0351340547204, error = 0.237395266794
Epoch 25 took 74.6385650635, cost = 0.0397072657943, error = 0.254373070704
Epoch 26 took 74.6257059574, cost = 0.0357125783339, error = 0.2379097457
Epoch 27 took 74.6544418335, cost = 0.0332787940279, error = 0.219388505071
Epoch 28 took 74.6349799633, cost = 0.0327485157177, error = 0.21615463766
Epoch 29 took 74.6924080849, cost = 0.0362712200731, error = 0.221666911657
Epoch 30 took 74.7516770363, cost = 0.0332233579829, error = 0.21659561958
Epoch 31 took 74.8634459972, cost = 0.0362019073218, error = 0.220711450831
Epoch 32 took 74.8228280544, cost = 0.0467245932668, error = 0.281052476848
Epoch 33 took 74.8436717987, cost = 0.0398154370487, error = 0.254152579744
Epoch 34 took 74.8078041077, cost = 0.0346719799563, error = 0.218653535205
Epoch 35 took 74.8974750042, cost = 0.0348646221682, error = 0.231295016904
Epoch 36 took 74.8036198616, cost = 0.0331699969247, error = 0.216301631633
Epoch 37 took 74.8341917992, cost = 0.0346333244815, error = 0.226370718801
Epoch 38 took 74.8131821156, cost = 0.0349315647036, error = 0.222695869469
Epoch 39 took 74.8152210712, cost = 0.039900097996, error = 0.243863001617
Epoch 40 took 74.8093569279, cost = 0.0377649627626, error = 0.231956489784
Epoch 41 took 74.8824310303, cost = 0.0377656538039, error = 0.232103483757
Epoch 42 took 74.8094398975, cost = 0.0352234337479, error = 0.217477583419
Epoch 43 took 74.6787581444, cost = 0.0354546867311, error = 0.218065559312
Epoch 44 took 74.6494820118, cost = 0.0364770740271, error = 0.21571365574
Epoch 45 took 74.6538469791, cost = 0.0368828754872, error = 0.217477583419
Epoch 46 took 74.6660652161, cost = 0.036971649155, error = 0.214096722034
Epoch 47 took 74.6840360165, cost = 0.0377847589552, error = 0.218212553285
Epoch 48 took 74.7069330215, cost = 0.0376530587673, error = 0.216448625606
Epoch 49 took 74.6766221523, cost = 0.0374289564788, error = 0.214758194914
Epoch 50 took 74.65143013, cost = 0.0373260881752, error = 0.213508746141
Epoch 51 took 74.6715230942, cost = 0.0369706470519, error = 0.208951932971
Epoch 52 took 74.6483368874, cost = 0.0368770444766, error = 0.207334999265
Epoch 53 took 74.6635789871, cost = 0.0374055337161, error = 0.211083345583
Epoch 54 took 74.6208469868, cost = 0.0366999329999, error = 0.206306041452
Epoch 55 took 74.6672039032, cost = 0.0363764800131, error = 0.207996472145
Epoch 56 took 74.6494560242, cost = 0.0361321829259, error = 0.205130089666
Epoch 57 took 74.6704452038, cost = 0.037456870079, error = 0.211744818462
Epoch 58 took 74.6733238697, cost = 0.0371025949717, error = 0.209466411877
Epoch 59 took 74.7137539387, cost = 0.0377048254013, error = 0.212700279289
Epoch 60 took 74.6792259216, cost = 0.038478417322, error = 0.214537703954
Epoch 61 took 74.7127759457, cost = 0.0365076605231, error = 0.209980890783
Epoch 62 took 74.697040081, cost = 0.0376744903624, error = 0.216081140673
Epoch 63 took 74.7342638969, cost = 0.0380982030183, error = 0.209539908864
Epoch 64 took 74.8152928352, cost = 0.0365466829389, error = 0.205571071586
