Loading data...
Computing updates...
Compiling functions...
Training...
Epoch 0 took 42.359128952, cost = 0.0626047700644, error = 0.798250771718
Epoch 1 took 42.0316069126, cost = 0.0476847067475, error = 0.637733352933
Epoch 2 took 42.0186171532, cost = 0.0378984175622, error = 0.539467881817
Epoch 3 took 42.0012121201, cost = 0.0360370539129, error = 0.521093635161
Epoch 4 took 42.039041996, cost = 0.0306977592409, error = 0.458327208584
Epoch 5 took 42.036891222, cost = 0.0285834372044, error = 0.425400558577
Epoch 6 took 42.023296833, cost = 0.0242833774537, error = 0.382404821402
Epoch 7 took 42.0140161514, cost = 0.0225205346942, error = 0.356460385124
Epoch 8 took 41.9516940117, cost = 0.0258863363415, error = 0.403498456563
Epoch 9 took 41.913626194, cost = 0.0210462305695, error = 0.336028222843
Epoch 10 took 41.9228930473, cost = 0.0210186745971, error = 0.322798765251
Epoch 11 took 41.9331319332, cost = 0.0208206623793, error = 0.327870057328
Epoch 12 took 41.9413599968, cost = 0.0190971270204, error = 0.302513596943
Epoch 13 took 42.0121688843, cost = 0.0189748741686, error = 0.296854328973
Epoch 14 took 42.024627924, cost = 0.0191975589842, error = 0.295016904307
Epoch 15 took 42.0475201607, cost = 0.0200801491737, error = 0.305379979421
Epoch 16 took 42.0214421749, cost = 0.0182476751506, error = 0.27774511245
Epoch 17 took 42.0403528214, cost = 0.018651811406, error = 0.27862707629
Epoch 18 took 42.0537610054, cost = 0.0190106779337, error = 0.285462296046
Epoch 19 took 42.040350914, cost = 0.021365173161, error = 0.309422313685
Epoch 20 took 42.0231471062, cost = 0.0186214316636, error = 0.280537997942
Epoch 21 took 42.0137431622, cost = 0.0178356263787, error = 0.26708804939
Epoch 22 took 42.0445201397, cost = 0.0195408053696, error = 0.270836395708
Epoch 23 took 41.9204199314, cost = 0.0185858495533, error = 0.26642657651
Epoch 24 took 41.9248008728, cost = 0.0180034600198, error = 0.263192709099
Epoch 25 took 41.9106519222, cost = 0.0185660924762, error = 0.256651477289
Epoch 26 took 41.9655089378, cost = 0.0174041129649, error = 0.250404233426
Epoch 27 took 41.9567389488, cost = 0.0178858712316, error = 0.258635895928
Epoch 28 took 41.9625668526, cost = 0.018185082823, error = 0.269145965015
Epoch 29 took 41.9675238132, cost = 0.0170415304601, error = 0.250183742467
Epoch 30 took 41.9924769402, cost = 0.0174928028136, error = 0.253344112891
Epoch 31 took 41.9397740364, cost = 0.016482450068, error = 0.237836248714
Epoch 32 took 41.9540219307, cost = 0.0175561979413, error = 0.241731589005
Epoch 33 took 41.9401760101, cost = 0.0174032412469, error = 0.239526679406
Epoch 34 took 41.9384539127, cost = 0.017610438168, error = 0.246067911216
Epoch 35 took 41.9283511639, cost = 0.0171607211232, error = 0.239085697486
Epoch 36 took 41.9409878254, cost = 0.0176207646728, error = 0.240996619139
Epoch 37 took 41.9435048103, cost = 0.0177552327514, error = 0.23835072762
Epoch 38 took 41.9540309906, cost = 0.0177916493267, error = 0.246802881082
Epoch 39 took 41.927065134, cost = 0.0175666958094, error = 0.24511245039
Epoch 40 took 41.9196920395, cost = 0.0170024111867, error = 0.235631339115
Epoch 41 took 41.9295458794, cost = 0.0177741087973, error = 0.244597971483
Epoch 42 took 41.9589049816, cost = 0.0170291569084, error = 0.228355137439
Epoch 43 took 41.9486598969, cost = 0.0166415832937, error = 0.227767161546
Epoch 44 took 41.9636509418, cost = 0.0179332289845, error = 0.236366308981
Epoch 45 took 41.9155709743, cost = 0.0173995494843, error = 0.231368513891
Epoch 46 took 41.9401581287, cost = 0.0183874368668, error = 0.240041158313
Epoch 47 took 41.9505169392, cost = 0.0172227639705, error = 0.229898574158
Epoch 48 took 41.9546310902, cost = 0.0177881941199, error = 0.231368513891
Epoch 49 took 41.9287321568, cost = 0.0174878276885, error = 0.230119065118
Epoch 50 took 41.9525191784, cost = 0.0173718631268, error = 0.23335293253
Epoch 51 took 41.957118988, cost = 0.0172822140157, error = 0.22791415552
Epoch 52 took 41.9461181164, cost = 0.0177198145539, error = 0.230780537998
Epoch 53 took 41.9337079525, cost = 0.0168558545411, error = 0.220858444804
Epoch 54 took 41.9439649582, cost = 0.0180193893611, error = 0.224900779068
Epoch 55 took 41.9257800579, cost = 0.0179340019822, error = 0.223357342349
Epoch 56 took 41.9339740276, cost = 0.0192079842091, error = 0.238644715567
Epoch 57 took 41.9486010075, cost = 0.0186784341931, error = 0.244965456416
Epoch 58 took 41.9595389366, cost = 0.0193784628063, error = 0.241952079965
Epoch 59 took 41.9294030666, cost = 0.0187598802149, error = 0.235851830075
Epoch 60 took 41.9486889839, cost = 0.0183190144598, error = 0.228943113332
Epoch 61 took 41.9330070019, cost = 0.0192167945206, error = 0.238056739674
Epoch 62 took 41.93988204, cost = 0.0189640037715, error = 0.229604586212
Epoch 63 took 41.9359760284, cost = 0.0188312493265, error = 0.224974276055
